nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENAÇÃO DE APOIO AO ESTUDANTE - CAMPUS SANTA RITA,CAEST-SR,DDE-SR,CAMPUS SANTA RITA,2
COORDENAÇÃO PEDAGÓGICA - CAMPUS SANTA RITA,COPED-SR,DDE-SR,CAMPUS SANTA RITA,1
NÚCLEO DE ATEND. ÀS PESSOAS COM NECESSIDADES. EDUCAC. ESPECIAIS - CAMPUS SANTA RITA,NAPNE-SR,DDE-SR,CAMPUS SANTA RITA,3
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS SOUSA,CPLAN-SS,DAP-SS,CAMPUS SOUSA,2
"NÚCLEO DE LÍNGUAS, CULTURA E ESTUDOS LINGUÍSTICOS - CAMPUS CG",NUCLI-CG,DG-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE LICITAÇÃO DE OBRAS - REITORIA,CLO-RE,DCCL-RE,REITORIA,1
POLO DE INOVAÇÃO DO IFPB - REITORIA,POLOIFPB-RE,REITORIA,REITORIA,4
COORDENACAO DE PESQUISA E INOVACAO - CAMPUS ITABAIANA,COPI-IB,DG-IB,CAMPUS ITABAIANA,1
COORDENACAO DE EXTENSAO E CULTURA - CAMPUS ITABAIANA,CEXC-IB,DG-IB,CAMPUS ITABAIANA,1
GABINETE MÉDICO - CAMPUS GUARABIRA,GABMED-GB,COPAE-GB,CAMPUS GUARABIRA,1
COORDENACAO DE GESTAO DE PESSOAS E CHEFIA DE GABINETE - CAMPUS ITABAIANA,CGP-IB,DG-IB,CAMPUS ITABAIANA,1
COORDENAÇÃO DE AÇÕES INCLUSIVAS-RE,CAI-RE,PRAE-RE,REITORIA,2
CONTRATOS - CAMPUS GUARABIRA,CONTRATOS-GB,DAPF-GB,CAMPUS GUARABIRA,1
NAPNE - NUCLEO DE ATENDIMENTO AS PESSOAS COM NECESSIDADES EDUC. ESPECÍFICAS - CAMPUS ITABAIANA,NAPNE-IB,CPAE-IB,CAMPUS ITABAIANA,2
NUCLEO LING CULTURA E EST LINGUISTICOS - CAMPUS CABEDELO,NUCLI-CB,DG-CB,CAMPUS CABEDELO,1
NUCLEO DE ASSUNTOS INTERNACIONAIS - CAMPUS CABEDELO,NAI-CB,DG-CB,CAMPUS CABEDELO,1
Assessoria Especial para Inovação e Empreendedorismo-RE,ASSESPIEMP-RE,GAB-RE,REITORIA,1
COORDENAÇÃO DE EXECUÇÃO FINANCEIRA - CAMPUS CATOLÉ DO ROCHA,CEFIN-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DE PATRIMÔNIO E LOGÍSTICA - CAMPUS CATOLÉ DO ROCHA,CPL-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENACAO GERAL DE ENSINO,CGE-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COORD CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA MECÂNICA - CAMPUS JP,CCSBEM-JP,UA3-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DE AUDIOVISUAL E MULTIMEIOS - CAMPUS JOÃO PESSOA,CAUDIOM-JP,CGDG-JP,CAMPUS JOÃO PESSOA,6
COORD. CURSO TÉCNICO SEGURANÇA NO TRABALHO - CAMPUS PATOS,CTST-PT,DDE-PT,CAMPUS PATOS,3
NÚCLEO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS ITABAIANA,NTI-IB,DG-IB,CAMPUS ITABAIANA,1
NÚCLEO DE BIBLIOTECA - CAMPUS ITABAIANA,NB-IB,DDE-IB,CAMPUS ITABAIANA,1
NÚCLEO DE ALMOXARIFADO E PATRIMÔNIO - CAMPUS ITABAIANA,NAP-IB,DAPF-IB,CAMPUS ITABAIANA,1
COORD PROGRAMA PÓS-GRADUAÇÃO TECNOL INFORMAÇÃO - CAMPUS JOÃO PESSOA,CPPGTI-JP,UA2-JP,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE CONTABILIDADE - REITORIA,CCONT-RE,DFIN-RE,REITORIA,6
COORDENACAO DE LICENCIATURA EM MATEMÁTICA - CAMPUS JOÃO PESSOA,CLM-JP,UA4-JP,CAMPUS JOÃO PESSOA,1
COORD ACOMP FINANC ASSIS ESTUDANTIL-RE,CAFAE-RE,PRAE-RE,REITORIA,1
"NÚCLEO DE LÍNGUAS, CULTURA E ESTUDOS LINGUÍSTICOS - CAMPUS JOÃO PESSOA",NUCLI-JP,DG-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DO NÚCLEO DE ASSUNTOS INTERNACIONAIS - CAMPUS JOÃO PESSOA,CNAI-JP,DG-JP,CAMPUS JOÃO PESSOA,1
DIRETORIA TECNOLÓGICA DO POLO DE INOVAÇÃO JOÃO PESSOA,DTECPO-RE,POLOIFPB-RE,REITORIA,2
COORDENAÇÃO DE INFRAESTRUTURA DO POLO DE INOVAÇÃO JOÃO PESSOA,INFPIJP-RE,DTECPO-RE,REITORIA,1
